Latitude (decimal degrees):	42.605
Longitude (decimal degrees):	23.482
Elevation (m):	699
Radiation database:	PVGIS-SARAH2


Slope: 17 deg. 
Azimuth: 7 deg. 
Nominal power of the PV system (c-Si) (kWp):	3.2
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200102:1710,0.0,0.0,0.0,-2.15,0.62,0.0
20200102:1810,0.0,0.0,0.0,-2.62,0.76,0.0
20200102:1910,0.0,0.0,0.0,-2.69,0.55,0.0
20200102:2010,0.0,0.0,0.0,-2.97,0.55,0.0
20200102:2110,0.0,0.0,0.0,-3.28,0.62,0.0
20200102:2210,0.0,0.0,0.0,-3.49,0.62,0.0
20200102:2310,0.0,0.0,0.0,-3.59,0.69,0.0
20200103:0010,0.0,0.0,0.0,-3.59,0.69,0.0
20200103:0110,0.0,0.0,0.0,-3.6,0.62,0.0
20200103:0210,0.0,0.0,0.0,-3.62,0.62,0.0
20200103:0310,0.0,0.0,0.0,-3.55,0.62,0.0
20200103:0410,0.0,0.0,0.0,-3.49,0.62,0.0
20200103:0510,0.0,0.0,0.0,-3.44,0.62,0.0
20200103:0610,0.0,0.0,0.0,-3.45,0.69,0.0
20200103:0710,679.84,262.82,9.98,-3.61,0.69,0.0
20200103:0810,1121.6,407.35,17.04,-1.66,0.69,0.0
20200103:0910,1473.76,534.8,22.01,0.29,0.76,0.0
20200103:1010,1642.4,596.78,24.4,0.66,0.9,0.0
20200103:1110,1673.02,613.43,23.92,2.58,0.97,0.0
20200103:1210,1538.46,563.23,20.62,2.44,0.97,0.0
20200103:1310,1137.76,420.24,14.9,2.33,0.97,0.0
20200103:1410,39.87,26.12,7.27,2.04,0.9,0.0
20200103:1510,0.0,0.0,0.0,1.68,0.9,0.0
20200103:1610,0.0,0.0,0.0,1.43,1.03,0.0
20200103:1710,0.0,0.0,0.0,0.83,1.1,0.0
20200103:1810,0.0,0.0,0.0,0.64,1.17,0.0
20200103:1910,0.0,0.0,0.0,-0.02,1.17,0.0
20200103:2010,0.0,0.0,0.0,-0.33,1.17,0.0
20200103:2110,0.0,0.0,0.0,-0.45,1.24,0.0
20200103:2210,0.0,0.0,0.0,-0.45,1.24,0.0
20200103:2310,0.0,0.0,0.0,-0.62,1.38,0.0
20200104:0010,0.0,0.0,0.0,-0.92,1.38,0.0
20200104:0110,0.0,0.0,0.0,-1.15,1.38,0.0
20200104:0210,0.0,0.0,0.0,-1.15,1.38,0.0
20200104:0310,0.0,0.0,0.0,-1.14,1.38,0.0
20200104:0410,0.0,0.0,0.0,-1.18,1.38,0.0
20200104:0510,0.0,0.0,0.0,-1.27,1.45,0.0
20200104:0610,0.0,0.0,0.0,-1.33,1.45,0.0
20200104:0710,674.62,262.84,10.01,-1.3,1.38,0.0
20200104:0810,1166.94,427.59,17.08,1.15,1.17,0.0
20200104:0910,1553.47,564.79,22.08,1.91,1.38,0.0
20200104:1010,1601.57,583.91,24.5,3.55,1.72,0.0
20200104:1110,1501.44,547.42,24.03,4.16,1.86,0.0
20200104:1210,1508.42,551.56,20.75,4.33,1.86,0.0
20200104:1310,768.77,287.23,15.03,3.69,1.59,0.0
20200104:1410,84.93,44.5,7.41,2.97,1.66,0.0
20200104:1510,0.0,0.0,0.0,1.99,1.72,0.0
20200104:1610,0.0,0.0,0.0,0.12,1.66,0.0
20200104:1710,0.0,0.0,0.0,-0.64,1.59,0.0
20200104:1810,0.0,0.0,0.0,-1.57,1.59,0.0
20200104:1910,0.0,0.0,0.0,-1.12,1.38,0.0
20200104:2010,0.0,0.0,0.0,-1.26,1.38,0.0
20200104:2110,0.0,0.0,0.0,-1.81,1.38,0.0
20200104:2210,0.0,0.0,0.0,-2.01,1.38,0.0
20200104:2310,0.0,0.0,0.0,-2.17,1.45,0.0
20200105:0010,0.0,0.0,0.0,-2.48,1.52,0.0
20200105:0110,0.0,0.0,0.0,-2.67,1.52,0.0
20200105:0210,0.0,0.0,0.0,-2.9,1.59,0.0
20200105:0310,0.0,0.0,0.0,-3.27,1.79,0.0
20200105:0410,0.0,0.0,0.0,-3.28,1.86,0.0
20200105:0510,0.0,0.0,0.0,-3.63,1.86,0.0
20200105:0610,0.0,0.0,0.0,-3.91,1.93,0.0
20200105:0710,11.84,12.77,10.04,-3.33,1.79,0.0
20200105:0810,61.02,34.38,17.14,-1.94,2.34,0.0
20200105:0910,318.24,126.52,22.16,-0.85,3.03,0.0
20200105:1010,439.97,168.17,24.6,-0.47,2.97,0.0
20200105:1110,258.27,106.1,24.15,-0.42,3.03,0.0
20200105:1210,672.54,246.12,20.89,-0.47,3.03,0.0
20200105:1310,130.78,60.91,15.18,-0.8,3.03,0.0
20200105:1410,57.15,32.89,7.56,-1.52,2.69,0.0
20200105:1510,0.0,0.0,0.0,-2.24,2.21,0.0
20200105:1610,0.0,0.0,0.0,-2.77,2.28,0.0
20200105:1710,0.0,0.0,0.0,-3.14,2.14,0.0
20200105:1810,0.0,0.0,0.0,-3.15,2.14,0.0
20200105:1910,0.0,0.0,0.0,-3.35,2.21,0.0
20200105:2010,0.0,0.0,0.0,-3.53,2.28,0.0
20200105:2110,0.0,0.0,0.0,-3.76,2.28,0.0
20200105:2210,0.0,0.0,0.0,-4.01,2.07,0.0
20200105:2310,0.0,0.0,0.0,-4.38,1.86,0.0
20200106:0010,0.0,0.0,0.0,-4.85,1.72,0.0
20200106:0110,0.0,0.0,0.0,-5.35,1.72,0.0
20200106:0210,0.0,0.0,0.0,-6.2,1.66,0.0
20200106:0310,0.0,0.0,0.0,-6.86,1.66,0.0
20200106:0410,0.0,0.0,0.0,-7.36,1.66,0.0
20200106:0510,0.0,0.0,0.0,-7.52,1.52,0.0
20200106:0610,0.0,0.0,0.0,-7.68,1.59,0.0
20200106:0710,182.02,77.91,10.08,-7.8,2.21,0.0
20200106:0810,606.27,220.44,17.2,-5.28,2.83,0.0
20200106:0910,905.95,319.09,22.24,-4.64,3.31,0.0
20200106:1010,274.59,110.02,24.71,-4.16,3.59,0.0
20200106:1110,280.32,111.99,24.28,-4.25,3.1,0.0
20200106:1210,146.82,65.82,21.03,-4.25,3.31,0.0
20200106:1310,243.71,99.53,15.33,-4.2,2.97,0.0
20200106:1410,93.31,46.43,7.71,-4.19,2.83,0.0
20200106:1510,0.0,0.0,0.0,-4.5,2.76,0.0
20200106:1610,0.0,0.0,0.0,-4.65,2.28,0.0
20200106:1710,0.0,0.0,0.0,-4.71,2.48,0.0
20200106:1810,0.0,0.0,0.0,-4.79,2.21,0.0
20200106:1910,0.0,0.0,0.0,-4.96,2.28,0.0
20200106:2010,0.0,0.0,0.0,-4.95,2.21,0.0
20200106:2110,0.0,0.0,0.0,-5.49,1.86,0.0
20200106:2210,0.0,0.0,0.0,-5.61,1.86,0.0
20200106:2310,0.0,0.0,0.0,-5.97,1.79,0.0
20200107:0010,0.0,0.0,0.0,-6.89,1.66,0.0
20200107:0110,0.0,0.0,0.0,-7.56,1.52,0.0
20200107:0210,0.0,0.0,0.0,-7.72,1.45,0.0
20200107:0310,0.0,0.0,0.0,-7.25,1.38,0.0
20200107:0410,0.0,0.0,0.0,-5.88,1.17,0.0
20200107:0510,0.0,0.0,0.0,-5.94,1.03,0.0
20200107:0610,0.0,0.0,0.0,-6.09,0.9,0.0
20200107:0710,592.42,224.6,10.12,-7.51,1.66,0.0
20200107:0810,1191.49,418.04,17.26,-7.59,1.59,0.0
20200107:0910,1586.94,553.19,22.33,-6.66,1.66,0.0
20200107:1010,1851.65,655.49,24.82,-3.8,1.72,0.0
20200107:1110,1872.06,664.3,24.42,-3.04,1.86,0.0
20200107:1210,1721.28,611.05,21.18,-2.71,1.86,0.0
20200107:1310,1345.44,481.47,15.48,-2.88,1.79,0.0
20200107:1410,60.22,33.86,7.86,-3.75,1.52,0.0
20200107:1510,0.0,0.0,0.0,-5.12,1.1,0.0
20200107:1610,0.0,0.0,0.0,-4.24,0.9,0.0
20200107:1710,0.0,0.0,0.0,-4.63,0.83,0.0
20200107:1810,0.0,0.0,0.0,-4.96,0.69,0.0
20200107:1910,0.0,0.0,0.0,-4.98,0.69,0.0
20200107:2010,0.0,0.0,0.0,-5.07,0.69,0.0
20200107:2110,0.0,0.0,0.0,-5.12,0.62,0.0
20200107:2210,0.0,0.0,0.0,-5.18,0.62,0.0
20200107:2310,0.0,0.0,0.0,-5.25,0.62,0.0
20200108:0010,0.0,0.0,0.0,-5.31,0.69,0.0
20200108:0110,0.0,0.0,0.0,-5.37,0.69,0.0
20200108:0210,0.0,0.0,0.0,-5.43,0.69,0.0
20200108:0310,0.0,0.0,0.0,-5.53,0.69,0.0
20200108:0410,0.0,0.0,0.0,-5.63,0.69,0.0
20200108:0510,0.0,0.0,0.0,-5.71,0.69,0.0
20200108:0610,0.0,0.0,0.0,-5.79,0.69,0.0
20200108:0710,714.05,272.97,10.18,-5.94,0.48,0.0
20200108:0810,1254.3,448.89,17.34,-4.63,0.83,0.0
20200108:0910,1630.27,581.96,22.43,-2.95,1.1,0.0
20200108:1010,1910.69,683.1,24.94,-3.03,1.31,0.0
20200108:1110,1864.51,670.04,24.56,-1.12,1.52,0.0
20200108:1210,1698.02,609.74,21.33,-0.86,1.52,0.0
20200108:1310,1297.6,469.41,15.64,-1.06,1.38,0.0
20200108:1410,59.71,33.86,8.03,-2.18,1.17,0.0
20200108:1510,0.0,0.0,0.0,-4.02,1.1,0.0
20200108:1610,0.0,0.0,0.0,-2.8,0.9,0.0
20200108:1710,0.0,0.0,0.0,-3.31,0.62,0.0
20200108:1810,0.0,0.0,0.0,-3.78,0.41,0.0
20200108:1910,0.0,0.0,0.0,-4.11,0.21,0.0
20200108:2010,0.0,0.0,0.0,-4.22,0.07,0.0
20200108:2110,0.0,0.0,0.0,-4.35,0.0,0.0
20200108:2210,0.0,0.0,0.0,-4.45,0.21,0.0
20200108:2310,0.0,0.0,0.0,-4.54,0.28,0.0
20200109:0010,0.0,0.0,0.0,-4.58,0.34,0.0
20200109:0110,0.0,0.0,0.0,-4.57,0.48,0.0
20200109:0210,0.0,0.0,0.0,-4.66,0.69,0.0
20200109:0310,0.0,0.0,0.0,-4.68,0.62,0.0
20200109:0410,0.0,0.0,0.0,-4.61,0.55,0.0
20200109:0510,0.0,0.0,0.0,-4.55,0.55,0.0
20200109:0610,0.0,0.0,0.0,-4.53,0.76,0.0
20200109:0710,711.39,273.1,10.23,-4.65,0.9,0.0
20200109:0810,1173.25,424.1,17.42,-2.32,0.83,0.0
20200109:0910,1627.42,590.5,22.54,0.16,0.97,0.0
20200109:1010,1846.27,671.28,25.07,0.24,1.1,0.0
20200109:1110,1737.86,635.47,24.71,2.26,1.17,0.0
20200109:1210,1572.35,573.91,21.49,2.31,1.17,0.0
20200109:1310,1220.8,448.91,15.81,2.17,1.1,0.0
20200109:1410,65.7,36.76,8.19,1.81,0.83,0.0
20200109:1510,0.0,0.0,0.0,1.77,0.9,0.0
20200109:1610,0.0,0.0,0.0,1.0,1.1,0.0
20200109:1710,0.0,0.0,0.0,1.23,0.97,0.0
20200109:1810,0.0,0.0,0.0,0.82,1.03,0.0
20200109:1910,0.0,0.0,0.0,0.34,0.9,0.0
20200109:2010,0.0,0.0,0.0,-1.42,1.17,0.0
20200109:2110,0.0,0.0,0.0,-1.45,1.03,0.0
20200109:2210,0.0,0.0,0.0,-1.02,0.97,0.0
20200109:2310,0.0,0.0,0.0,-1.14,1.1,0.0
20200110:0010,0.0,0.0,0.0,-0.68,1.1,0.0
20200110:0110,0.0,0.0,0.0,-0.96,1.17,0.0
20200110:0210,0.0,0.0,0.0,-1.37,1.31,0.0
20200110:0310,0.0,0.0,0.0,-1.55,1.31,0.0
20200110:0410,0.0,0.0,0.0,-1.52,1.31,0.0
20200110:0510,0.0,0.0,0.0,-1.65,1.31,0.0
20200110:0610,0.0,0.0,0.0,-2.14,1.38,0.0
20200110:0710,676.7,264.07,10.3,-1.39,1.24,0.0
20200110:0810,1184.06,435.49,17.51,1.3,0.76,0.0
20200110:0910,1544.16,572.57,22.65,4.48,0.69,0.0
20200110:1010,1758.53,656.37,25.21,5.06,0.69,0.0
20200110:1110,1736.7,650.36,24.87,6.31,0.83,0.0
20200110:1210,1575.78,591.69,21.66,7.42,0.83,0.0
20200110:1310,1175.01,445.42,15.98,7.97,0.69,0.0
20200110:1410,52.16,31.92,8.36,7.37,0.55,0.0
20200110:1510,0.0,0.0,0.0,6.19,0.69,0.0
20200110:1610,0.0,0.0,0.0,3.96,1.03,0.0
20200110:1710,0.0,0.0,0.0,2.89,1.17,0.0
20200110:1810,0.0,0.0,0.0,1.9,1.31,0.0
20200110:1910,0.0,0.0,0.0,1.58,1.38,0.0
20200110:2010,0.0,0.0,0.0,1.17,1.38,0.0
20200110:2110,0.0,0.0,0.0,1.13,1.38,0.0
20200110:2210,0.0,0.0,0.0,1.32,1.31,0.0
20200110:2310,0.0,0.0,0.0,1.36,1.24,0.0
20200111:0010,0.0,0.0,0.0,1.35,1.17,0.0
20200111:0110,0.0,0.0,0.0,1.31,1.17,0.0
20200111:0210,0.0,0.0,0.0,1.28,1.1,0.0
20200111:0310,0.0,0.0,0.0,1.19,1.03,0.0
20200111:0410,0.0,0.0,0.0,0.99,1.03,0.0
20200111:0510,0.0,0.0,0.0,0.74,1.1,0.0
20200111:0610,0.0,0.0,0.0,0.46,1.24,0.0
20200111:0710,143.3,66.16,10.37,0.56,1.17,0.0
20200111:0810,802.59,298.76,17.6,2.55,0.83,0.0
20200111:0910,1376.67,503.8,22.77,3.48,1.17,0.0
20200111:1010,500.26,192.55,25.36,3.58,1.31,0.0
20200111:1110,200.38,87.43,25.03,3.63,1.45,0.0
20200111:1210,114.62,55.99,21.83,3.71,1.45,0.0
20200111:1310,334.62,134.87,16.16,3.66,1.52,0.0
20200111:1410,5.92,9.67,8.54,2.91,1.31,0.0
20200111:1510,0.0,0.0,0.0,1.83,1.24,0.0
20200111:1610,0.0,0.0,0.0,0.74,1.24,0.0
20200111:1710,0.0,0.0,0.0,0.07,1.24,0.0
20200111:1810,0.0,0.0,0.0,-0.43,1.17,0.0
20200111:1910,0.0,0.0,0.0,0.24,0.83,0.0
20200111:2010,0.0,0.0,0.0,-0.1,0.83,0.0
20200111:2110,0.0,0.0,0.0,-0.43,0.83,0.0
20200111:2210,0.0,0.0,0.0,-0.49,0.69,0.0
20200111:2310,0.0,0.0,0.0,-0.63,0.76,0.0
20200112:0010,0.0,0.0,0.0,-0.95,0.9,0.0
20200112:0110,0.0,0.0,0.0,-0.86,0.9,0.0
20200112:0210,0.0,0.0,0.0,-0.7,0.55,0.0
20200112:0310,0.0,0.0,0.0,-0.62,0.28,0.0
20200112:0410,0.0,0.0,0.0,-0.62,0.34,0.0
20200112:0510,0.0,0.0,0.0,-0.81,0.55,0.0
20200112:0610,0.0,0.0,0.0,-1.11,0.69,0.0
20200112:0710,27.94,20.63,10.45,-0.85,0.9,0.0
20200112:0810,281.06,114.51,17.71,0.04,1.1,0.0
20200112:0910,755.52,277.9,22.9,1.09,1.31,0.0
20200112:1010,294.14,119.85,25.51,1.7,1.24,0.0
20200112:1110,144.35,66.8,25.2,2.7,1.52,0.0
20200112:1210,115.04,55.99,22.01,3.03,1.59,0.0
20200112:1310,128.35,60.91,16.34,2.73,1.38,0.0
20200112:1410,44.35,28.05,8.72,2.36,1.24,0.0
20200112:1510,0.0,0.0,0.0,1.76,1.03,0.0
20200112:1610,0.0,0.0,0.0,0.99,1.03,0.0
20200112:1710,0.0,0.0,0.0,0.38,0.83,0.0
20200112:1810,0.0,0.0,0.0,0.23,0.76,0.0
20200112:1910,0.0,0.0,0.0,-0.77,0.9,0.0
20200112:2010,0.0,0.0,0.0,-1.23,0.9,0.0
20200112:2110,0.0,0.0,0.0,-1.66,0.9,0.0
20200112:2210,0.0,0.0,0.0,-1.82,0.9,0.0
20200112:2310,0.0,0.0,0.0,-2.36,1.03,0.0
20200113:0010,0.0,0.0,0.0,-2.74,1.1,0.0
20200113:0110,0.0,0.0,0.0,-2.86,1.17,0.0
20200113:0210,0.0,0.0,0.0,-2.9,1.17,0.0
20200113:0310,0.0,0.0,0.0,-3.1,1.17,0.0
20200113:0410,0.0,0.0,0.0,-2.99,1.1,0.0
20200113:0510,0.0,0.0,0.0,-3.18,1.17,0.0
20200113:0610,0.0,0.0,0.0,-3.3,1.17,0.0
20200113:0710,204.54,87.71,10.53,-2.63,0.97,0.0
20200113:0810,316.74,127.03,17.81,0.14,0.76,0.0
20200113:0910,370.56,146.89,23.04,2.15,0.69,0.0
20200113:1010,343.71,138.51,25.67,3.83,0.76,0.0
20200113:1110,329.12,133.6,25.37,4.3,0.83,0.0
20200113:1210,313.86,128.54,22.2,4.92,0.69,0.0
20200113:1310,295.3,122.33,16.53,5.72,0.62,0.0
20200113:1410,121.28,59.01,8.91,5.68,0.41,0.0
20200113:1510,0.0,0.0,0.0,5.15,0.41,0.0
20200113:1610,0.0,0.0,0.0,4.39,0.41,0.0
20200113:1710,0.0,0.0,0.0,3.63,0.69,0.0
20200113:1810,0.0,0.0,0.0,2.93,0.97,0.0
20200113:1910,0.0,0.0,0.0,1.2,1.24,0.0
20200113:2010,0.0,0.0,0.0,-0.27,1.24,0.0
20200113:2110,0.0,0.0,0.0,-0.72,1.17,0.0
20200113:2210,0.0,0.0,0.0,-1.03,1.17,0.0
20200113:2310,0.0,0.0,0.0,-1.19,1.17,0.0
20200114:0010,0.0,0.0,0.0,-1.31,1.17,0.0
20200114:0110,0.0,0.0,0.0,-1.44,1.17,0.0
20200114:0210,0.0,0.0,0.0,-1.55,1.17,0.0
20200114:0310,0.0,0.0,0.0,-1.72,1.24,0.0
20200114:0410,0.0,0.0,0.0,-1.74,1.17,0.0
20200114:0510,0.0,0.0,0.0,-1.89,1.17,0.0
20200114:0610,0.0,0.0,0.0,-2.06,1.24,0.0
20200114:0710,389.92,155.94,10.63,-1.44,0.97,0.0
20200114:0810,621.22,233.81,17.93,1.64,0.69,0.0
20200114:0910,769.73,287.64,23.18,4.04,0.62,0.0
20200114:1010,1026.82,380.23,25.83,4.72,0.62,0.0
20200114:1110,871.97,325.31,25.56,5.28,0.69,0.0
20200114:1210,1215.97,450.8,22.39,5.69,0.76,0.0
20200114:1310,1225.5,460.62,16.72,6.31,0.62,0.0
20200114:1410,657.73,262.84,9.1,6.03,0.48,0.0
20200114:1510,0.0,0.0,0.0,5.23,0.28,0.0
20200114:1610,0.0,0.0,0.0,4.51,0.0,0.0
20200114:1710,0.0,0.0,0.0,3.93,0.34,0.0
20200114:1810,0.0,0.0,0.0,3.28,0.62,0.0
20200114:1910,0.0,0.0,0.0,2.16,0.76,0.0
20200114:2010,0.0,0.0,0.0,1.45,0.83,0.0
20200114:2110,0.0,0.0,0.0,0.88,0.9,0.0
20200114:2210,0.0,0.0,0.0,0.4,1.03,0.0
20200114:2310,0.0,0.0,0.0,-0.11,1.17,0.0
20200115:0010,0.0,0.0,0.0,-0.72,1.24,0.0
20200115:0110,0.0,0.0,0.0,-0.99,1.17,0.0
20200115:0210,0.0,0.0,0.0,-1.16,1.1,0.0
20200115:0310,0.0,0.0,0.0,-1.86,1.1,0.0
20200115:0410,0.0,0.0,0.0,-1.95,1.03,0.0
20200115:0510,0.0,0.0,0.0,-2.08,1.03,0.0
20200115:0610,0.0,0.0,0.0,-2.26,1.1,0.0
20200115:0710,441.06,174.43,10.72,-1.8,0.69,0.0
20200115:0810,736.48,275.14,18.05,1.98,0.41,0.0
20200115:0910,1034.05,385.0,23.33,4.75,0.14,0.0
20200115:1010,1227.2,457.57,26.0,5.93,0.34,0.0
20200115:1110,1493.57,560.79,25.75,6.97,0.48,0.0
20200115:1210,1329.15,497.85,22.59,7.48,0.69,0.0
20200115:1310,1029.31,387.38,16.92,7.13,0.83,0.0
20200115:1410,507.81,204.61,9.29,6.09,0.9,0.0
20200115:1510,0.0,0.0,0.0,4.61,0.9,0.0
20200115:1610,0.0,0.0,0.0,3.43,1.03,0.0
20200115:1710,0.0,0.0,0.0,1.97,1.17,0.0
20200115:1810,0.0,0.0,0.0,0.96,1.17,0.0
20200115:1910,0.0,0.0,0.0,0.76,1.1,0.0
20200115:2010,0.0,0.0,0.0,-0.21,1.31,0.0
20200115:2110,0.0,0.0,0.0,-1.1,1.38,0.0
20200115:2210,0.0,0.0,0.0,-1.63,1.45,0.0
20200115:2310,0.0,0.0,0.0,-2.14,1.38,0.0
20200116:0010,0.0,0.0,0.0,-2.3,1.38,0.0
20200116:0110,0.0,0.0,0.0,-2.42,1.31,0.0
20200116:0210,0.0,0.0,0.0,-2.5,1.31,0.0
20200116:0310,0.0,0.0,0.0,-2.55,1.24,0.0
20200116:0410,0.0,0.0,0.0,-2.56,1.24,0.0
20200116:0510,0.0,0.0,0.0,-2.58,1.24,0.0
20200116:0610,0.0,0.0,0.0,-2.61,1.24,0.0
20200116:0710,491.78,193.5,10.83,-1.06,0.76,0.0
20200116:0810,818.24,304.21,18.18,1.97,0.41,0.0
20200116:0910,1029.02,381.45,23.48,4.87,0.69,0.0
20200116:1010,932.77,348.44,26.18,6.34,0.9,0.0
20200116:1110,964.9,360.12,25.94,6.91,1.17,0.0
20200116:1210,767.2,289.65,22.79,7.25,1.24,0.0
20200116:1310,642.21,245.68,17.12,6.97,1.24,0.0
20200116:1410,353.86,146.41,9.49,5.85,1.24,0.0
20200116:1510,0.0,0.0,0.0,3.92,1.24,0.0
20200116:1610,0.0,0.0,0.0,2.17,1.03,0.0
20200116:1710,0.0,0.0,0.0,1.59,0.83,0.0
20200116:1810,0.0,0.0,0.0,0.65,0.69,0.0
20200116:1910,0.0,0.0,0.0,-0.47,0.48,0.0
20200116:2010,0.0,0.0,0.0,-1.23,0.48,0.0
20200116:2110,0.0,0.0,0.0,-1.52,0.48,0.0
20200116:2210,0.0,0.0,0.0,-1.86,0.48,0.0
20200116:2310,0.0,0.0,0.0,-2.62,0.48,0.0
20200117:0010,0.0,0.0,0.0,-3.02,0.48,0.0
20200117:0110,0.0,0.0,0.0,-2.99,0.48,0.0
20200117:0210,0.0,0.0,0.0,-3.57,0.55,0.0
20200117:0310,0.0,0.0,0.0,-3.53,0.62,0.0
20200117:0410,0.0,0.0,0.0,-3.54,0.62,0.0
20200117:0510,0.0,0.0,0.0,-3.55,0.69,0.0
20200117:0610,0.0,0.0,0.0,-3.81,0.69,0.0
20200117:0710,574.85,222.63,10.94,-2.77,0.76,0.0
20200117:0810,947.84,343.31,18.32,-1.79,1.03,0.0
20200117:0910,1445.98,519.89,23.64,-0.51,1.17,0.0
20200117:1010,1689.82,611.87,26.37,0.76,1.31,0.0
20200117:1110,1673.66,607.05,26.14,1.57,1.45,0.0
20200117:1210,1282.78,464.99,23.0,2.43,1.59,0.0
20200117:1310,716.86,266.31,17.33,2.38,1.66,0.0
20200117:1410,472.96,186.8,9.69,1.59,1.45,0.0
20200117:1510,0.0,0.0,0.0,-0.09,1.45,0.0
20200117:1610,0.0,0.0,0.0,-1.64,1.24,0.0
20200117:1710,0.0,0.0,0.0,-2.84,1.1,0.0
20200117:1810,0.0,0.0,0.0,-3.46,1.03,0.0
20200117:1910,0.0,0.0,0.0,-3.64,1.17,0.0
20200117:2010,0.0,0.0,0.0,-3.72,1.1,0.0
20200117:2110,0.0,0.0,0.0,-3.78,1.1,0.0
20200117:2210,0.0,0.0,0.0,-3.8,1.1,0.0
20200117:2310,0.0,0.0,0.0,-3.74,1.03,0.0
20200118:0010,0.0,0.0,0.0,-3.67,0.97,0.0
20200118:0110,0.0,0.0,0.0,-3.7,0.97,0.0
20200118:0210,0.0,0.0,0.0,-3.4,0.83,0.0
20200118:0310,0.0,0.0,0.0,-3.3,0.76,0.0
20200118:0410,0.0,0.0,0.0,-3.4,0.76,0.0
20200118:0510,0.0,0.0,0.0,-3.48,0.83,0.0
20200118:0610,0.0,0.0,0.0,-4.04,0.97,0.0
20200118:0710,428.93,168.1,11.06,-3.37,1.1,0.0
20200118:0810,839.68,307.14,18.46,0.02,1.45,0.0
20200118:0910,898.85,328.17,23.81,1.98,1.79,0.0
20200118:1010,787.55,291.6,26.56,3.63,1.93,0.0
20200118:1110,597.7,226.64,26.35,4.39,2.0,0.0
20200118:1210,639.49,241.28,23.21,4.81,2.0,0.0
20200118:1310,808.26,300.82,17.54,4.51,1.79,0.0
20200118:1410,438.72,175.48,9.9,3.61,1.52,0.0
20200118:1510,0.0,0.0,0.0,1.74,1.52,0.0
20200118:1610,0.0,0.0,0.0,-0.71,1.45,0.0
20200118:1710,0.0,0.0,0.0,-2.49,1.38,0.0
20200118:1810,0.0,0.0,0.0,-3.12,1.38,0.0
20200118:1910,0.0,0.0,0.0,-3.61,1.45,0.0
20200118:2010,0.0,0.0,0.0,-3.37,1.38,0.0
20200118:2110,0.0,0.0,0.0,-3.02,1.24,0.0
